FILE,LABEL,VALUE
calculation,item_type,calculation_calculationArc
calculation,order,2
calculation,weight,-1.0
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_OperatingIncomeLoss_f9a837b6-d05b-4cbe-95fe-cb26fc7f8692
calculation,to,loc_us-gaap_CostsAndExpenses_540cfcce-9cfe-4f65-97d8-686b1a3ed16a
calculation,type,arc
calculation,item_type,calculation_loc
calculation,type,locator
calculation,label,loc_us-gaap_CostsAndExpenses_538ce7e3-a76f-4a24-89df-44a6631fe945
calculation,href,https://xbrl.fasb.org/us-gaap/2021/elts/us-gaap-2021-01-31.xsd#us-gaap_CostsAndExpenses
calculation,item_type,calculation_loc
calculation,type,locator
calculation,label,loc_us-gaap_CostOfRevenue_8cc9c8c5-01cd-4d9a-8c96-99f45d32045a
calculation,href,https://xbrl.fasb.org/us-gaap/2021/elts/us-gaap-2021-01-31.xsd#us-gaap_CostOfRevenue
calculation,item_type,calculation_calculationArc
calculation,order,1
calculation,weight,1.0
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_CostsAndExpenses_538ce7e3-a76f-4a24-89df-44a6631fe945
calculation,to,loc_us-gaap_CostOfRevenue_8cc9c8c5-01cd-4d9a-8c96-99f45d32045a
calculation,type,arc
calculation,item_type,calculation_loc
calculation,type,locator
calculation,label,loc_us-gaap_SellingAndMarketingExpense_805a0b17-4a74-4503-a16e-4fe40fd42deb
calculation,href,https://xbrl.fasb.org/us-gaap/2021/elts/us-gaap-2021-01-31.xsd#us-gaap_SellingAndMarketingExpense
calculation,item_type,calculation_calculationArc
calculation,order,2
calculation,weight,1.0
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_CostsAndExpenses_538ce7e3-a76f-4a24-89df-44a6631fe945
calculation,to,loc_us-gaap_SellingAndMarketingExpense_805a0b17-4a74-4503-a16e-4fe40fd42deb
calculation,type,arc
calculation,item_type,calculation_loc
calculation,type,locator
calculation,label,loc_us-gaap_ResearchAndDevelopmentExpense_b76ad82d-6d4d-4f31-bd83-1fa8b3ca4eb6
calculation,href,https://xbrl.fasb.org/us-gaap/2021/elts/us-gaap-2021-01-31.xsd#us-gaap_ResearchAndDevelopmentExpense
calculation,item_type,calculation_calculationArc
calculation,order,3
calculation,weight,1.0
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_CostsAndExpenses_538ce7e3-a76f-4a24-89df-44a6631fe945
calculation,to,loc_us-gaap_ResearchAndDevelopmentExpense_b76ad82d-6d4d-4f31-bd83-1fa8b3ca4eb6
calculation,type,arc
calculation,item_type,calculation_loc
calculation,type,locator
calculation,label,loc_us-gaap_GeneralAndAdministrativeExpense_8916e38e-19b4-429e-be96-1a5d5a2bbe17
calculation,href,https://xbrl.fasb.org/us-gaap/2021/elts/us-gaap-2021-01-31.xsd#us-gaap_GeneralAndAdministrativeExpense
calculation,item_type,calculation_calculationArc
calculation,order,4
calculation,weight,1.0
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_CostsAndExpenses_538ce7e3-a76f-4a24-89df-44a6631fe945
calculation,to,loc_us-gaap_GeneralAndAdministrativeExpense_8916e38e-19b4-429e-be96-1a5d5a2bbe17
calculation,type,arc
calculation,item_type,calculation_loc
calculation,type,locator
calculation,label,loc_us-gaap_NetIncomeLoss_fade95ae-6b49-42dc-acbd-9e6eed0ef9bf
calculation,href,https://xbrl.fasb.org/us-gaap/2021/elts/us-gaap-2021-01-31.xsd#us-gaap_NetIncomeLoss
calculation,item_type,calculation_loc
calculation,type,locator
calculation,label,loc_us-gaap_IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest_cc4961b9-2465-4542-a1fd-3fe792d0f68c
calculation,href,https://xbrl.fasb.org/us-gaap/2021/elts/us-gaap-2021-01-31.xsd#us-gaap_IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest
calculation,item_type,calculation_calculationArc
calculation,order,1
calculation,weight,1.0
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_NetIncomeLoss_fade95ae-6b49-42dc-acbd-9e6eed0ef9bf
calculation,to,loc_us-gaap_IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest_cc4961b9-2465-4542-a1fd-3fe792d0f68c
calculation,type,arc
calculation,item_type,calculation_loc
calculation,type,locator
calculation,label,loc_us-gaap_IncomeTaxExpenseBenefit_f71036a1-39c0-40da-90f4-c32eef915aaf
calculation,href,https://xbrl.fasb.org/us-gaap/2021/elts/us-gaap-2021-01-31.xsd#us-gaap_IncomeTaxExpenseBenefit
calculation,item_type,calculation_calculationArc
calculation,order,2
calculation,weight,-1.0
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
